id_coleta,posto,bairro,endereco,bandeira,combustivel,data_coleta,preco
156,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Etanol,2026-08-26,4.970
157,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Branca,Gasolina aditivada,2026-01-14,6.390
158,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-01-27,6.390
159,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-02-04,6.390
160,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-02-09,6.390
161,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-02-16,6.390
162,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-02-24,6.390
163,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-03-03,6.390
164,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-03-12,6.790
165,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-03-17,6.890
166,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-05-05,6.650
167,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-05-12,6.650
168,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-05-20,6.650
169,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-05-26,6.570
170,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-06-01,6.570
171,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-06-08,6.570
172,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-06-17,6.990
173,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-06-23,6.950
174,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-06-30,6.840
175,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-07-15,6.740
176,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-07-20,6.740
177,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-07-28,6.440
178,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-08-03,6.440
179,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-08-12,6.440
180,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-08-19,6.440
181,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina aditivada,2026-08-26,6.440
182,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Branca,Gasolina comum,2026-01-14,6.290
183,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-01-27,6.290
184,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-02-04,6.290
185,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-02-09,6.290
186,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-02-16,6.290
187,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-02-24,6.290
188,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-03-03,5.990
189,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-03-12,6.390
190,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-03-17,6.490
191,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-05-05,6.450
192,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-05-12,6.450
193,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Gasolina comum,2026-05-20,6.450
